City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
291,ephraim,39.3597,-111.5863,24.59,30,91,3.19,US,1686139192
292,songling,31.1933,120.7176,23.11,88,100,2.21,CN,1686171172
293,ndele,8.4109,20.6473,23.02,80,96,1.19,CF,1686111509
294,codrington,-38.2667,141.9667,9.78,92,7,6.2,AU,1686174223
295,recreo,-29.2818,-65.061,21.89,71,57,4.2,AR,1686136160
296,vorgashor,67.5833,63.95,2.62,76,89,3.93,RU,0
297,nagasaki,32.7447,129.8736,21.58,88,100,2.18,JP,1686168744
298,edna,28.9786,-96.6461,33.39,53,99,0.62,US,1686137256
299,avarua,-21.2078,-159.775,24.03,83,75,1.54,CK,1686157901
300,freeport,40.6576,-73.5832,20.59,41,100,5.66,US,1686129827
301,mugia,43.1041,-9.2179,20.09,91,95,3.5,ES,1686113886
302,ovalle,-30.5983,-71.2003,21.9,48,82,1.76,CL,1686137812
303,yerofey pavlovich,53.9667,121.9667,9.43,94,100,2.12,RU,1686165750
304,mahina,-17.5065,-149.489,27.87,61,40,2.57,PF,1686155014
305,new norfolk,-42.7826,147.0587,14.72,89,100,0.89,AU,1686173819
306,souillac,-20.5167,57.5167,24.21,69,40,4.63,MU,1686192080
307,mount isa,-20.7333,139.5,12.87,88,21,0.0,AU,1686172424
308,berezovyy,51.6667,135.7,13.04,90,76,0.75,RU,1686163259
309,the pas,53.8251,-101.2541,28.01,54,0,2.57,CA,1686132989
310,oban,56.4127,-5.4706,15.77,87,87,0.47,GB,1686108954
311,pangody,65.85,74.4859,10.19,76,98,4.78,RU,1686167494
312,villa dolores,-31.9459,-65.1896,20.42,63,95,1.73,AR,1686136556
313,isla vista,34.4133,-119.861,19.35,74,100,2.57,US,1686142024
314,salinopolis,-0.6136,-47.3561,26.78,84,55,4.83,BR,1686128748
315,hamilton,39.1834,-84.5333,25.84,35,20,6.17,US,1686132733
316,la ronge,55.1001,-105.2842,26.12,29,40,3.09,CA,1686133460
317,la palma,33.8464,-118.0467,22.67,64,75,4.12,US,1686141678
318,alofi,-19.0595,-169.9187,23.94,83,100,2.57,NU,1686160091
319,vadso,70.0744,29.7487,6.49,87,0,2.57,NO,0
320,mocimboa,-11.3167,40.35,23.18,88,2,3.26,MZ,1686108783
321,puerto lempira,15.2667,-83.7667,29.08,70,75,2.06,HN,1686135840
322,heunghae,36.1125,129.3522,19.71,71,100,2.28,KR,1686168333
323,galveston,29.3669,-94.9669,34.47,60,40,4.63,US,1686136800
324,arvayheer,46.2639,102.775,13.07,54,2,3.43,MN,1686172675
325,sittwe,20.15,92.9,26.7,87,100,3.34,MM,1686179285
326,leninskoye,41.7589,69.3864,24.61,15,1,2.79,KZ,1686181687
327,naze,28.3667,129.4833,23.51,92,100,6.19,JP,1686169468
328,orchard homes,46.8633,-114.0484,30.51,37,0,2.57,US,1686138173
329,bontang,0.1333,117.5,24.74,91,98,2.47,ID,1686175513
330,lamar,33.6668,-95.5836,32.02,43,20,0.0,US,1686136315
331,contamana,-7.3333,-75.0167,29.78,59,79,1.46,PE,1686136066
332,villa juarez,24.6536,-107.5411,30.14,58,40,3.6,MX,1686140443
333,moroni,-11.7022,43.2551,25.59,78,1,0.97,KM,1686108126
334,bridgewater,44.3835,-64.5155,13.95,89,98,6.17,CA,1686126876
335,matamey,13.4231,8.4749,28.1,49,100,8.77,NE,1686113902
336,cativa,9.3606,-79.8436,24.94,85,100,1.79,PA,1686135530
337,faya-largeau,17.9257,19.1043,32.63,36,100,4.95,TD,1686110853
338,nar'yan-mar,67.6713,53.087,2.58,72,100,3.71,RU,0
